customer_id,company_name,industry,region,tier,contract_type,primary_product,signup_date,last_active_date,days_since_last_active,order_count,avg_order_value,total_revenue,mrr,support_tickets,avg_resolution_hrs,nps_score,discount_pct,churned
CUST-1062,Starlight Dynamics #63,Healthcare IT,Europe (EMEA),Enterprise,Annual Prepaid,Enterprise Analytics Suite,2026-03-02,2026-08-16,15,31,5642.04,174903.24,13256.45,3,16.9,7,16.8,0
CUST-1063,Pulse Health #64,SaaS & Cloud Software,North America,Mid-Market,Quarterly,Enterprise Analytics Suite,2024-12-21,2026-08-10,21,13,2795.12,36336.56,2866.1,2,16.6,6,15.8,0
CUST-1064,Prism Global #65,SaaS & Cloud Software,Europe (EMEA),Starter,Annual Prepaid,Cloud Infrastructure Pro,2026-02-03,2026-08-07,24,5,638.29,3191.45,186.65,1,5.9,6,26.2,0
CUST-1065,Synergy Financial #66,FinTech & Payments,North America,Growth,Month-to-Month,AI Decision Platform,2026-04-23,2026-08-30,1,10,683.72,6837.2,539.3,4,12.3,5,19.2,0
CUST-1066,Novus Media #67,SaaS & Cloud Software,North America,Mid-Market,Annual Prepaid,Enterprise Analytics Suite,2025-08-12,2026-08-12,19,18,2372.75,42709.5,3284.97,4,14.0,5,28.2,0
CUST-1067,Synergy Logistics #68,E-Commerce & Retail,North America,Mid-Market,Annual Prepaid,Enterprise Analytics Suite,2026-05-06,2026-08-18,13,18,2208.56,39754.08,3256.75,4,15.5,4,8.0,0
CUST-1068,Pinnacle Labs #69,E-Commerce & Retail,North America,Mid-Market,Annual Prepaid,Enterprise Analytics Suite,2026-03-11,2026-08-28,3,19,3078.95,58500.05,3931.92,4,10.7,5,29.1,0
CUST-1069,Novus Cloud #70,Professional & Legal Services,Europe (EMEA),Mid-Market,Annual Prepaid,Enterprise Analytics Suite,2025-08-24,2026-08-25,6,24,1939.72,46553.28,4104.61,2,11.1,6,17.2,0
CUST-1070,Vertex Systems #71,FinTech & Payments,Asia-Pacific,Enterprise,Annual Prepaid,Security & Compliance Shield,2024-10-10,2026-08-18,13,30,7299.34,218980.2,20103.17,1,11.7,7,11.7,0
CUST-1071,Zenith Capital #72,FinTech & Payments,North America,Mid-Market,Month-to-Month,Cloud Infrastructure Pro,2025-01-25,2026-08-11,20,13,2257.26,29344.38,2025.28,3,8.7,8,36.8,0
CUST-1072,Quantum Technologies #73,Healthcare IT,North America,Mid-Market,Quarterly,API Data Hub,2025-06-03,2026-07-27,35,19,2191.85,41645.15,3531.35,4,9.1,4,19.1,1
CUST-1073,Horizon Logistics #74,Manufacturing & Logistics,North America,Growth,Month-to-Month,API Data Hub,2026-04-16,2026-06-26,66,11,1679.11,18470.21,1485.04,5,11.3,2,6.0,1
CUST-1074,Beacon Logistics #75,Manufacturing & Logistics,North America,Mid-Market,Annual Prepaid,AI Decision Platform,2025-02-25,2026-08-26,5,23,2264.82,52090.86,4643.27,2,8.6,6,6.8,0
CUST-1075,Terra Technologies #76,SaaS & Cloud Software,Europe (EMEA),Starter,Annual Prepaid,API Data Hub,2025-09-02,2026-08-01,30,1,511.07,511.07,44.16,3,14.0,5,31.3,0
CUST-1076,Beacon Labs #77,FinTech & Payments,Europe (EMEA),Enterprise,Month-to-Month,API Data Hub,2025-06-13,2026-08-23,8,24,7452.74,178865.76,16661.81,4,7.7,7,10.9,0
CUST-1077,Aegis Health #78,FinTech & Payments,North America,Mid-Market,Quarterly,AI Decision Platform,2025-12-10,2026-08-13,18,20,3219.37,64387.4,4674.69,2,9.7,5,7.4,0
CUST-1078,Acro Cloud #79,SaaS & Cloud Software,Latin America,Mid-Market,Multi-Year,Enterprise Analytics Suite,2026-04-15,2026-08-25,6,15,2399.01,35985.15,3121.04,4,8.4,6,5.2,0
CUST-1079,Novus Retail Group #80,SaaS & Cloud Software,North America,Mid-Market,Multi-Year,Cloud Infrastructure Pro,2025-05-19,2026-08-08,23,20,2286.01,45720.2,3342.46,1,10.8,6,15.4,0
CUST-1080,Apex Networks #81,SaaS & Cloud Software,North America,Starter,Quarterly,AI Decision Platform,2026-03-17,2026-08-14,17,1,656.23,656.23,50.0,2,12.2,4,18.2,0
CUST-1081,Aegis Dynamics #82,SaaS & Cloud Software,North America,Growth,Annual Prepaid,AI Decision Platform,2026-02-10,2026-07-28,34,16,1854.98,29679.68,2450.9,1,15.6,4,6.5,0
CUST-1082,Stratum Technologies #83,SaaS & Cloud Software,Asia-Pacific,Mid-Market,Month-to-Month,AI Decision Platform,2025-04-20,2026-08-26,5,19,2525.71,47988.49,4309.73,3,10.6,3,13.8,0
CUST-1083,Horizon Technologies #84,SaaS & Cloud Software,Europe (EMEA),Enterprise,Annual Prepaid,Security & Compliance Shield,2026-04-07,2026-06-21,71,33,4780.51,157756.83,14926.68,6,10.3,4,3.4,1
CUST-1084,Kinetic Cloud #85,Manufacturing & Logistics,Europe (EMEA),Growth,Quarterly,Enterprise Analytics Suite,2026-01-08,2026-08-30,1,14,1256.38,17589.32,1602.6,4,6.8,8,4.6,0
CUST-1085,Elevate Networks #86,Manufacturing & Logistics,Europe (EMEA),Growth,Month-to-Month,Enterprise Analytics Suite,2025-10-19,2026-06-18,74,11,1984.97,21834.67,1824.92,2,9.3,6,5.4,1
CUST-1086,Vertex Cloud #87,E-Commerce & Retail,Asia-Pacific,Growth,Annual Prepaid,AI Decision Platform,2025-09-02,2026-08-11,20,10,1022.65,10226.5,880.23,1,8.1,8,1.1,0
CUST-1087,Vanguard Financial #88,FinTech & Payments,North America,Mid-Market,Annual Prepaid,API Data Hub,2025-06-16,2026-08-21,10,25,1598.48,39962.0,3304.0,4,11.5,5,13.8,0
CUST-1088,Terra Ventures #89,E-Commerce & Retail,Europe (EMEA),Mid-Market,Annual Prepaid,AI Decision Platform,2025-11-25,2026-08-28,3,21,1450.1,30452.1,2600.09,1,6.6,9,18.5,0
CUST-1089,Novus Labs #90,Manufacturing & Logistics,North America,Growth,Month-to-Month,Cloud Infrastructure Pro,2025-12-22,2026-08-27,4,8,1564.62,12516.96,1042.63,6,18.3,6,25.2,0
CUST-1090,Elevate Capital #91,E-Commerce & Retail,North America,Starter,Annual Prepaid,Cloud Infrastructure Pro,2025-01-17,2026-07-25,37,5,456.76,2283.8,159.52,1,10.8,7,6.8,0
CUST-1091,Omni Ventures #92,E-Commerce & Retail,North America,Starter,Month-to-Month,AI Decision Platform,2026-03-05,2026-08-19,12,4,729.3,2917.2,235.03,1,7.4,6,10.9,0
CUST-1092,Vertex Ventures #93,FinTech & Payments,Europe (EMEA),Mid-Market,Quarterly,AI Decision Platform,2024-11-13,2026-07-23,39,21,3111.1,65333.1,5710.81,2,12.8,5,13.7,0
CUST-1093,Solstice Ventures #94,Healthcare IT,Europe (EMEA),Growth,Multi-Year,AI Decision Platform,2025-08-07,2026-07-21,41,15,996.82,14952.3,1235.43,3,10.9,5,6.9,0
CUST-1094,CoreLogic Capital #95,FinTech & Payments,Europe (EMEA),Mid-Market,Annual Prepaid,Enterprise Analytics Suite,2026-04-24,2026-07-28,34,24,2426.68,58240.32,5281.37,6,33.0,3,2.6,1
CUST-1095,Acro Capital #96,E-Commerce & Retail,North America,Growth,Quarterly,Enterprise Analytics Suite,2025-02-19,2026-08-30,1,7,1424.46,9971.22,716.75,2,8.3,6,14.4,0
CUST-1096,Novus Technologies #97,SaaS & Cloud Software,Europe (EMEA),Mid-Market,Annual Prepaid,AI Decision Platform,2026-05-24,2026-08-25,6,20,3254.88,65097.6,5408.47,3,4.9,6,12.4,0
CUST-1097,Synergy Retail Group #1,Healthcare IT,North America,Mid-Market,Month-to-Month,Enterprise Analytics Suite,2025-06-27,2026-08-11,20,25,2501.07,62526.75,4488.06,3,5.4,6,34.1,0
CUST-1098,Nexus Solutions #2,E-Commerce & Retail,North America,Growth,Multi-Year,Cloud Infrastructure Pro,2025-12-14,2026-08-17,14,8,1533.16,12265.28,923.08,1,6.7,6,2.9,0
CUST-1099,Synergy Labs #3,SaaS & Cloud Software,North America,Enterprise,Annual Prepaid,Security & Compliance Shield,2026-04-20,2026-08-16,15,27,4842.93,130759.11,10523.8,2,3.6,7,12.1,0
CUST-1100,Synergy Systems #4,E-Commerce & Retail,Europe (EMEA),Enterprise,Month-to-Month,Cloud Infrastructure Pro,2026-01-07,2026-06-30,62,26,4946.05,128597.3,12218.77,1,14.5,7,3.2,0
CUST-1101,Kinetic Cloud #5,FinTech & Payments,Europe (EMEA),Mid-Market,Month-to-Month,Enterprise Analytics Suite,2026-01-13,2026-07-25,37,24,2794.9,67077.6,5409.22,5,8.1,5,11.8,0
CUST-1102,Vanguard Global #6,E-Commerce & Retail,Europe (EMEA),Enterprise,Annual Prepaid,Security & Compliance Shield,2026-04-17,2026-08-27,4,28,6218.47,174117.16,17034.43,5,23.1,5,3.8,0
CUST-1103,Solstice Capital #7,E-Commerce & Retail,Asia-Pacific,Growth,Month-to-Month,Cloud Infrastructure Pro,2025-11-25,2026-08-26,5,11,1206.46,13271.06,1115.94,3,6.0,6,9.0,0
CUST-1104,Vanguard Capital #8,Healthcare IT,Europe (EMEA),Mid-Market,Multi-Year,Cloud Infrastructure Pro,2025-07-02,2026-08-25,6,13,3746.31,48702.03,3992.26,2,14.9,8,37.4,0
CUST-1105,Novus Technologies #9,SaaS & Cloud Software,Europe (EMEA),Growth,Quarterly,Enterprise Analytics Suite,2025-11-25,2026-08-23,8,14,2036.99,28517.86,2326.34,1,5.1,9,3.2,0
CUST-1106,Novus Logistics #10,Professional & Legal Services,Europe (EMEA),Mid-Market,Quarterly,AI Decision Platform,2025-10-30,2026-08-22,9,26,3712.76,96531.76,7734.6,5,7.1,5,10.6,0
CUST-1107,Vanguard Dynamics #11,FinTech & Payments,North America,Enterprise,Annual Prepaid,Cloud Infrastructure Pro,2025-11-23,2026-08-28,3,37,4572.33,169176.21,14973.07,2,16.5,6,18.5,0
CUST-1108,Zenith Financial #12,Healthcare IT,North America,Mid-Market,Month-to-Month,API Data Hub,2025-08-27,2026-08-15,16,17,2434.28,41382.76,3732.51,2,11.8,9,19.3,0
CUST-1109,Synergy Health #13,SaaS & Cloud Software,Europe (EMEA),Mid-Market,Annual Prepaid,Enterprise Analytics Suite,2026-03-30,2026-08-08,23,22,2417.34,53181.48,4016.45,1,12.8,6,2.2,0
CUST-1110,Acro Retail Group #14,Healthcare IT,North America,Mid-Market,Multi-Year,AI Decision Platform,2026-02-16,2026-08-27,4,19,2813.08,53448.52,4274.77,2,17.7,6,23.0,0
CUST-1111,Starlight Technologies #15,SaaS & Cloud Software,Asia-Pacific,Enterprise,Multi-Year,AI Decision Platform,2025-10-26,2026-08-09,22,29,5736.76,166366.04,15727.79,6,29.7,3,8.4,0
CUST-1112,Nexus Dynamics #16,SaaS & Cloud Software,Europe (EMEA),Enterprise,Annual Prepaid,API Data Hub,2025-06-15,2026-05-17,106,34,4637.57,157677.38,12469.83,3,5.9,4,28.4,1
CUST-1113,Nexus Global #17,FinTech & Payments,Europe (EMEA),Mid-Market,Annual Prepaid,AI Decision Platform,2025-08-06,2026-08-30,1,15,3625.72,54385.8,4097.47,2,5.4,6,30.4,0
CUST-1114,Stratum Systems #18,FinTech & Payments,Europe (EMEA),Enterprise,Multi-Year,API Data Hub,2025-05-22,2026-08-07,24,37,4151.65,153611.05,12513.46,7,16.3,5,7.2,0
CUST-1115,Solstice Systems #19,E-Commerce & Retail,Europe (EMEA),Growth,Annual Prepaid,Enterprise Analytics Suite,2025-08-30,2026-08-25,6,14,1560.36,21845.04,1815.67,6,18.1,4,1.2,0
CUST-1116,Starlight Cloud #20,SaaS & Cloud Software,North America,Starter,Quarterly,Enterprise Analytics Suite,2025-11-26,2026-08-18,13,1,530.77,530.77,37.19,1,14.6,8,15.3,0
CUST-1117,Vanguard Health #21,Healthcare IT,Europe (EMEA),Mid-Market,Multi-Year,Cloud Infrastructure Pro,2025-10-23,2026-08-19,12,27,3209.84,86665.68,6016.18,2,8.7,5,26.5,0
CUST-1118,Elevate Logistics #22,E-Commerce & Retail,North America,Enterprise,Multi-Year,Cloud Infrastructure Pro,2024-08-08,2026-07-18,44,40,5933.54,237341.6,16444.27,4,20.4,4,11.6,0
CUST-1119,Zenith Retail Group #23,E-Commerce & Retail,North America,Growth,Month-to-Month,Enterprise Analytics Suite,2024-05-02,2026-07-24,38,12,1066.8,12801.6,878.81,2,9.6,6,11.9,1
CUST-1120,Acro Retail Group #24,FinTech & Payments,North America,Mid-Market,Annual Prepaid,Enterprise Analytics Suite,2025-09-08,2026-08-10,21,11,2353.39,25887.29,1947.57,2,12.9,6,33.7,0
CUST-1121,Beacon Networks #25,SaaS & Cloud Software,Europe (EMEA),Enterprise,Multi-Year,Enterprise Analytics Suite,2024-03-22,2026-08-29,2,32,6050.21,193606.72,17213.01,8,29.9,5,6.8,0
CUST-1122,Solstice Health #26,FinTech & Payments,Europe (EMEA),Enterprise,Annual Prepaid,Security & Compliance Shield,2026-01-09,2026-08-15,16,34,3920.08,133282.72,11340.86,4,17.0,4,9.9,0
CUST-1123,Beacon Financial #27,FinTech & Payments,North America,Growth,Month-to-Month,API Data Hub,2025-10-19,2026-07-19,43,7,1403.66,9825.62,793.88,2,13.2,4,18.4,1
CUST-1124,Aegis Health #28,SaaS & Cloud Software,Europe (EMEA),Growth,Quarterly,AI Decision Platform,2026-02-13,2026-08-09,22,13,1406.79,18288.27,1291.56,6,9.4,6,13.9,0
CUST-1125,Novus Retail Group #29,Healthcare IT,Europe (EMEA),Mid-Market,Multi-Year,API Data Hub,2025-02-02,2026-07-14,48,17,2319.12,39425.04,2714.63,2,24.2,6,15.5,0
CUST-1126,Terra Logistics #30,FinTech & Payments,Asia-Pacific,Mid-Market,Multi-Year,AI Decision Platform,2026-04-29,2026-08-23,8,18,2141.73,38551.14,2871.9,3,9.1,7,9.5,0
CUST-1127,Solstice Capital #31,FinTech & Payments,Asia-Pacific,Enterprise,Annual Prepaid,Enterprise Analytics Suite,2026-03-17,2026-08-12,19,29,4621.14,134013.06,13140.13,8,13.5,5,17.3,0
CUST-1128,Starlight Capital #32,FinTech & Payments,North America,Growth,Month-to-Month,Enterprise Analytics Suite,2025-10-08,2026-07-23,39,7,980.66,6864.62,603.83,4,13.5,4,26.6,1
CUST-1129,Synergy Labs #33,Manufacturing & Logistics,Asia-Pacific,Growth,Quarterly,API Data Hub,2025-12-25,2026-07-24,38,11,773.29,8506.19,777.11,1,10.7,6,13.5,1
CUST-1130,CoreLogic Financial #34,SaaS & Cloud Software,Asia-Pacific,Mid-Market,Month-to-Month,AI Decision Platform,2025-09-18,2026-08-25,6,20,2135.57,42711.4,3065.52,0,15.8,6,16.0,0
